Name,Sector,Num_Employees,Industry,End_Fiscal_Year
Dollar General Corporation,Consumer Defensive,185800,Discount Stores,2025-02-02
Quest Diagnostics Incorporated,Healthcare,40000,Diagnostics & Research,2024-12-31
"D.R. Horton, Inc.",Consumer Cyclical,13450,Residential Construction,2024-09-30
Danaher Corporation,Healthcare,61000,Diagnostics & Research,2024-12-31
The Walt Disney Company,Communication Services,173250,Entertainment,2024-09-30
"Digital Realty Trust, Inc.",Real Estate,3664,REIT - Specialty,2024-12-31
"Dollar Tree, Inc.",Consumer Defensive,65894,Discount Stores,2025-02-03
"Healthpeak Properties, Inc.",Real Estate,193,REIT - Healthcare Facilities,2024-12-31
Dover Corporation,Industrials,25000,Specialty Industrial Machinery,2024-12-31
Dow Inc.,Basic Materials,35900,Chemicals,2024-12-31
"Domino's Pizza, Inc.",Consumer Cyclical,6500,Restaurants,2024-12-31
"Darden Restaurants, Inc.",Consumer Cyclical,187384,Restaurants,2024-05-28
DTE Energy Company,Utilities,9950,Utilities - Regulated Electric,2024-12-31
Duke Energy Corporation,Utilities,27037,Utilities - Regulated Electric,2024-12-31
DaVita Inc.,Healthcare,70000,Medical Care Facilities,2024-12-31
Devon Energy Corporation,Energy,1900,Oil & Gas E&P,2024-12-31
"DexCom, Inc.",Healthcare,9500,Medical Devices,2024-12-31
Electronic Arts Inc.,Communication Services,13400,Electronic Gaming & Multimedia,2024-03-31
eBay Inc.,Consumer Cyclical,12300,Internet Retail,2024-12-31
Ecolab Inc.,Basic Materials,48000,Specialty Chemicals,2024-12-31
"Consolidated Edison, Inc.",Utilities,14592,Utilities - Regulated Electric,2024-12-31
Equifax Inc.,Industrials,15000,Consulting Services,2024-12-31
"Everest Group, Ltd.",Financial Services,2844,Insurance - Reinsurance,2024-12-31
Edison International,Utilities,13003,Utilities - Regulated Electric,2024-12-31
The Estée Lauder Companies Inc.,Consumer Defensive,44020,Household & Personal Products,2024-06-30
"Elevance Health, Inc.",Healthcare,104900,Healthcare Plans,2024-12-31
Eastman Chemical Company,Basic Materials,14000,Specialty Chemicals,2024-12-31
Emerson Electric Co.,Industrials,67000,Specialty Industrial Machinery,2024-09-30
"Enphase Energy, Inc.",Technology,3157,Solar,2024-12-31
"EOG Resources, Inc.",Energy,3050,Oil & Gas E&P,2024-12-31
"EPAM Systems, Inc.",Technology,53150,Information Technology Services,2024-12-31
"Equinix, Inc.",Real Estate,13151,REIT - Specialty,2024-12-31
Equity Residential,Real Estate,2400,REIT - Residential,2024-12-31
EQT Corporation,Energy,881,Oil & Gas E&P,2024-12-31
Eversource Energy,Utilities,10171,Utilities - Regulated Electric,2024-12-31
"Essex Property Trust, Inc.",Real Estate,1747,REIT - Residential,2024-12-31
Eaton Corporation plc,Industrials,94000,Specialty Industrial Machinery,2024-12-31
Entergy Corporation,Utilities,12177,Utilities - Regulated Electric,2024-12-31
"Etsy, Inc.",Consumer Cyclical,2420,Internet Retail,2024-12-31
"Evergy, Inc.",Utilities,4658,Utilities - Regulated Electric,2024-12-31
Edwards Lifesciences Corporation,Healthcare,19800,Medical Devices,2024-12-31
Exelon Corporation,Utilities,19962,Utilities - Regulated Electric,2024-12-31
"Expeditors International of Washington, Inc.",Industrials,18100,Integrated Freight & Logistics,2024-12-31
"Expedia Group, Inc.",Consumer Cyclical,17100,Travel Services,2024-12-31
Extra Space Storage Inc.,Real Estate,7618,REIT - Industrial,2024-12-31
Ford Motor Company,Consumer Cyclical,177000,Auto Manufacturers,2024-12-31
"Diamondback Energy, Inc.",Energy,1023,Oil & Gas E&P,2024-12-31
Fastenal Company,Industrials,20935,Industrial Distribution,2024-12-31
Freeport-McMoRan Inc.,Basic Materials,27200,Copper,2024-12-31
FactSet Research Systems Inc.,Financial Services,12279,Financial Data & Stock Exchanges,2024-08-31
FedEx Corporation,Industrials,328000,Integrated Freight & Logistics,2024-05-31
FirstEnergy Corp.,Utilities,12042,Utilities - Regulated Electric,2024-12-31
"F5, Inc.",Technology,6071,Software - Infrastructure,2024-09-30
"Fiserv, Inc.",Technology,42000,Information Technology Services,2024-12-31
Fair Isaac Corporation,Technology,3485,Software - Application,2024-09-30
"Fidelity National Information Services, Inc.",Technology,60000,Information Technology Services,2024-12-31
Fifth Third Bancorp,Financial Services,18657,Banks - Regional,2024-12-31
FMC Corporation,Basic Materials,6600,Agricultural Inputs,2024-12-31
Fox Corporation,Communication Services,10400,Entertainment,2024-06-30
Federal Realty Investment Trust,Real Estate,297,REIT - Retail,2024-12-31
"First Solar, Inc.",Technology,6700,Solar,2024-12-31
"Fortinet, Inc.",Technology,13568,Software - Infrastructure,2024-12-31
Fortive Corporation,Technology,18000,Scientific & Technical Instruments,2024-12-31
General Dynamics Corporation,Industrials,111600,Aerospace & Defense,2024-12-31
General Electric Company,Industrials,125000,Aerospace & Defense,2024-12-31
GE HealthCare Technologies Inc.,Healthcare,51000,Health Information Services,2024-12-31
Gen Digital Inc.,Technology,3700,Software - Infrastructure,2024-03-31
GE Vernova Inc., ,80000, ,2024-12-31
"Gilead Sciences, Inc.",Healthcare,18000,Drug Manufacturers - General,2024-12-31
"General Mills, Inc.",Consumer Defensive,34000,Packaged Foods,2024-05-28
Globe Life Inc.,Financial Services,3636,Insurance - Life,2024-12-31
Corning Incorporated,Technology,49800,Electronic Components,2024-12-31
General Motors Company,Consumer Cyclical,163000,Auto Manufacturers,2024-12-31
Generac Holdings Inc.,Industrials,8315,Specialty Industrial Machinery,2024-12-31
Alphabet Inc.,Communication Services,182502,Internet Content & Information,2024-12-31
Genuine Parts Company,Consumer Cyclical,60000,Specialty Retail,2024-12-31
Global Payments Inc.,Industrials,27000,Specialty Business Services,2024-12-31
Garmin Ltd.,Technology,19900,Scientific & Technical Instruments,2024-12-30
"The Goldman Sachs Group, Inc.",Financial Services,44400,Capital Markets,2024-12-31
"W.W. Grainger, Inc.",Industrials,23200,Industrial Distribution,2024-12-31
Halliburton Company,Energy,48000,Oil & Gas Equipment & Services,2024-12-31
"Hasbro, Inc.",Consumer Cyclical,5502,Leisure,2024-12-31
Huntington Bancshares Incorporated,Financial Services,19719,Banks - Regional,2024-12-31
"HCA Healthcare, Inc.",Healthcare,220000,Medical Care Facilities,2024-12-31
"The Home Depot, Inc.",Consumer Cyclical,463100,Home Improvement Retail,2025-01-28
Hess Corporation,Energy,1756,Oil & Gas E&P,2024-12-31
"The Hartford Financial Services Group, Inc.",Financial Services,18700,Insurance - Property & Casualty,2024-12-31
"Huntington Ingalls Industries, Inc.",Industrials,44000,Aerospace & Defense,2024-12-31
Hilton Worldwide Holdings Inc.,Consumer Cyclical,178000,Lodging,2024-12-31
"Hologic, Inc.",Healthcare,6990,Medical Instruments & Supplies,2024-09-30
Honeywell International Inc.,Industrials,95000,Conglomerates,2024-12-31
Hewlett Packard Enterprise Company,Technology,62000,Communication Equipment,2024-10-31
HP Inc.,Technology,58000,Computer Hardware,2024-10-31
Hormel Foods Corporation,Consumer Defensive,20000,Packaged Foods,2024-10-29
"Henry Schein, Inc.",Healthcare,25000,Medical Distribution,2024-12-30
"Host Hotels & Resorts, Inc.",Real Estate,163,REIT - Hotel & Motel,2024-12-31
The Hershey Company,Consumer Defensive,18650,Confectioners,2024-12-31
Hubbell Incorporated,Industrials,18317,Electrical Equipment & Parts,2024-12-31
Humana Inc.,Healthcare,67600,Healthcare Plans,2024-12-31
Howmet Aerospace Inc.,Industrials,23200,Aerospace & Defense,2024-12-31
International Business Machines Corporation,Technology,282200,Information Technology Services,2024-12-31
"Intercontinental Exchange, Inc.",Financial Services,13222,Financial Data & Stock Exchanges,2024-12-31
"IDEXX Laboratories, Inc.",Healthcare,11000,Diagnostics & Research,2024-12-31
IDEX Corporation,Industrials,8800,Specialty Industrial Machinery,2024-12-31
International Flavors & Fragrances Inc.,Basic Materials,21500,Specialty Chemicals,2024-12-31
"Illumina, Inc.",Healthcare,10590,Diagnostics & Research,2024-12-31
Incyte Corporation,Healthcare,2524,Biotechnology,2024-12-31
Intel Corporation,Technology,124800,Semiconductors,2024-12-30
Intuit Inc.,Technology,18200,Software - Application,2024-07-31
Invitation Homes Inc.,Real Estate,1555,REIT - Residential,2024-12-31
International Paper Company,Consumer Cyclical,39000,Packaging & Containers,2024-12-31
"The Interpublic Group of Companies, Inc.",Communication Services,57400,Advertising Agencies,2024-12-31
IQVIA Holdings Inc.,Healthcare,87000,Diagnostics & Research,2024-12-31
Ingersoll Rand Inc.,Industrials,18000,Specialty Industrial Machinery,2024-12-31
Iron Mountain Incorporated,Real Estate,27000,REIT - Specialty,2024-12-31
"Intuitive Surgical, Inc.",Healthcare,13676,Medical Instruments & Supplies,2024-12-31
"Gartner, Inc.",Technology,20237,Information Technology Services,2024-12-31
Illinois Tool Works Inc.,Industrials,45000,Specialty Industrial Machinery,2024-12-31
Invesco Ltd.,Financial Services,8489,Asset Management,2024-12-31
Jacobs Solutions Inc.,Industrials,60000,Engineering & Construction,2024-09-29
"J.B. Hunt Transport Services, Inc.",Industrials,34718,Integrated Freight & Logistics,2024-12-31
Jabil Inc.,Technology,236000,Electronic Components,2024-08-31
Johnson Controls International plc,Industrials,100000,Building Products & Equipment,2024-09-30
"Jack Henry & Associates, Inc.",Technology,7120,Information Technology Services,2024-06-30
Johnson & Johnson,Healthcare,131900,Drug Manufacturers - General,2024-12-31
"Juniper Networks, Inc.",Technology,11144,Communication Equipment,2024-12-31
JPMorgan Chase & Co.,Financial Services,311921,Banks - Diversified,2024-12-31
Kellanova,Consumer Defensive,23000,Packaged Foods,2024-12-30
Keurig Dr Pepper Inc.,Consumer Defensive,28100,Beverages - Non-Alcoholic,2024-12-31
KeyCorp,Financial Services,16752,Banks - Regional,2024-12-31
"Keysight Technologies, Inc.",Technology,15500,Scientific & Technical Instruments,2024-10-31
The Kraft Heinz Company,Consumer Defensive,36000,Packaged Foods,2024-12-30
Kimco Realty Corporation,Real Estate,660,REIT - Retail,2024-12-31
KLA Corporation,Technology,15000,Semiconductor Equipment & Materials,2024-06-30
Kimberly-Clark Corporation,Consumer Defensive,41000,Household & Personal Products,2024-12-31
"Kinder Morgan, Inc.",Energy,10891,Oil & Gas Midstream,2024-12-31
"CarMax, Inc.",Consumer Cyclical,29836,Auto & Truck Dealerships,2025-02-28
The Coca-Cola Company,Consumer Defensive,79100,Beverages - Non-Alcoholic,2024-12-31
The Kroger Co.,Consumer Defensive,414000,Grocery Stores,2025-02-03
Kenvue Inc.,Consumer Defensive,22000,Household & Personal Products,2024-12-31
Loews Corporation,Financial Services,12280,Insurance - Property & Casualty,2024-12-31
"Leidos Holdings, Inc.",Technology,47000,Information Technology Services,2024-12-29
Lennar Corporation,Consumer Cyclical,12284,Residential Construction,2024-11-30
Laboratory Corporation of America Holdings,Healthcare,56950,Diagnostics & Research,2024-12-31
"L3Harris Technologies, Inc.",Industrials,50000,Aerospace & Defense,2024-12-29
Linde plc,Basic Materials,66323,Specialty Chemicals,2024-12-31
LKQ Corporation,Consumer Cyclical,49000,Auto Parts,2024-12-31
Eli Lilly and Company,Healthcare,43000,Drug Manufacturers - General,2024-12-31
Lockheed Martin Corporation,Industrials,122000,Aerospace & Defense,2024-12-31
Alliant Energy Corporation,Utilities,3281,Utilities - Regulated Electric,2024-12-31
"Lowe's Companies, Inc.",Consumer Cyclical,168000,Home Improvement Retail,2025-02-02
Lam Research Corporation,Technology,17200,Semiconductor Equipment & Materials,2024-06-25
Lululemon Athletica Inc.,Consumer Cyclical,38000,Apparel Retail,2025-01-28
Southwest Airlines Co.,Industrials,74806,Airlines,2024-12-31
Las Vegas Sands Corp.,Consumer Cyclical,38400,Resorts & Casinos,2024-12-31
"Lamb Weston Holdings, Inc.",Consumer Defensive,10200,Packaged Foods,2024-05-28
LyondellBasell Industries N.V.,Basic Materials,20000,Specialty Chemicals,2024-12-31
"Live Nation Entertainment, Inc.",Communication Services,14700,Entertainment,2024-12-31
Mastercard Incorporated,Financial Services,33400,Credit Services,2024-12-31
"Mid-America Apartment Communities, Inc.",Real Estate,2427,REIT - Residential,2024-12-31
"Marriott International, Inc.",Consumer Cyclical,411000,Lodging,2024-12-31
Masco Corporation,Industrials,18000,Building Products & Equipment,2024-12-31
McDonald's Corporation,Consumer Cyclical,100000,Restaurants,2024-12-31
Microchip Technology Incorporated,Technology,22600,Semiconductors,2024-03-31
McKesson Corporation,Healthcare,45000,Medical Distribution,2024-03-31
Moody's Corporation,Financial Services,15151,Financial Data & Stock Exchanges,2024-12-31
"Mondelez International, Inc.",Consumer Defensive,91000,Confectioners,2024-12-31
Medtronic plc,Healthcare,95000,Medical Devices,2024-04-28
"MetLife, Inc.",Financial Services,45000,Insurance - Life,2024-12-31
"Meta Platforms, Inc.",Communication Services,67317,Internet Content & Information,2024-12-31
MGM Resorts International,Consumer Cyclical,58000,Resorts & Casinos,2024-12-31
"Mohawk Industries, Inc.",Consumer Cyclical,43300,"Furnishings, Fixtures & Appliances",2024-12-31
"McCormick & Company, Incorporated",Consumer Defensive,13800,Packaged Foods,2024-11-30
MarketAxess Holdings Inc.,Financial Services,881,Capital Markets,2024-12-31
"Martin Marietta Materials, Inc.",Basic Materials,9400,Building Materials,2024-12-31
"Marsh & McLennan Companies, Inc.",Financial Services,85000,Insurance Brokers,2024-12-31
3M Company,Industrials,85000,Conglomerates,2024-12-31
Monster Beverage Corporation,Consumer Defensive,5254,Beverages - Non-Alcoholic,2024-12-31
"Altria Group, Inc.",Consumer Defensive,6400,Tobacco,2024-12-31
"Molina Healthcare, Inc.",Healthcare,18000,Healthcare Plans,2024-12-31
The Mosaic Company,Basic Materials,14049,Agricultural Inputs,2024-12-31
Marathon Petroleum Corporation,Energy,18200,Oil & Gas Refining & Marketing,2024-12-31
"Monolithic Power Systems, Inc.",Technology,3564,Semiconductors,2024-12-31
"Merck & Co., Inc.",Healthcare,70000,Drug Manufacturers - General,2024-12-31
"Moderna, Inc.",Healthcare,5600,Biotechnology,2024-12-31
Marathon Oil Corporation,Energy,1681,Oil & Gas E&P,2024-12-31
Morgan Stanley,Financial Services,79610,Capital Markets,2024-12-31
MSCI Inc.,Financial Services,5794,Financial Data & Stock Exchanges,2024-12-31
Microsoft Corporation,Technology,221000,Software - Infrastructure,2024-06-30
"Motorola Solutions, Inc.",Technology,21000,Communication Equipment,2024-12-31
M&T Bank Corporation,Financial Services,21736,Banks - Regional,2024-12-31
"Match Group, Inc.",Communication Services,2600,Internet Content & Information,2024-12-31
Mettler-Toledo International Inc.,Healthcare,16000,Diagnostics & Research,2024-12-31
"Micron Technology, Inc.",Technology,43000,Semiconductors,2024-08-31
Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,41000,Travel Services,2024-12-31
"Nasdaq, Inc.",Financial Services,8525,Financial Data & Stock Exchanges,2024-12-31
Nordson Corporation,Industrials,7900,Specialty Industrial Machinery,2024-10-31
"NextEra Energy, Inc.",Utilities,16800,Utilities - Regulated Electric,2024-12-31
Newmont Corporation,Basic Materials,21700,Gold,2024-12-31
"Netflix, Inc.",Communication Services,13000,Entertainment,2024-12-31
NiSource Inc.,Utilities,7364,Utilities - Regulated Gas,2024-12-31
"NIKE, Inc.",Consumer Cyclical,83700,Footwear & Accessories,2024-05-31
Northrop Grumman Corporation,Industrials,101000,Aerospace & Defense,2024-12-31
"ServiceNow, Inc.",Technology,22668,Software - Application,2024-12-31
"NRG Energy, Inc.",Utilities,18131,Utilities - Independent Power Producers,2024-12-31
Norfolk Southern Corporation,Industrials,20700,Railroads,2024-12-31
"NetApp, Inc.",Technology,12000,Computer Hardware,2024-04-28
Northern Trust Corporation,Financial Services,23000,Asset Management,2024-12-31
Nucor Corporation,Basic Materials,32000,Steel,2024-12-31
NVIDIA Corporation,Technology,29600,Semiconductors,2025-01-28
"NVR, Inc.",Consumer Cyclical,6300,Residential Construction,2024-12-31
News Corporation,Communication Services,25000,Entertainment,2024-06-30
NXP Semiconductors N.V.,Technology,34200,Semiconductors,2024-12-31
Realty Income Corporation,Real Estate,418,REIT - Retail,2024-12-31
"Old Dominion Freight Line, Inc.",Industrials,22902,Trucking,2024-12-31
"ONEOK, Inc.",Energy,4775,Oil & Gas Midstream,2024-12-31
Omnicom Group Inc.,Communication Services,75900,Advertising Agencies,2024-12-31
ON Semiconductor Corporation,Technology,30000,Semiconductors,2024-12-31
Oracle Corporation,Technology,164000,Software - Infrastructure,2024-05-31
"O'Reilly Automotive, Inc.",Consumer Cyclical,90189,Specialty Retail,2024-12-31
Otis Worldwide Corporation,Industrials,71000,Specialty Industrial Machinery,2024-12-31
Occidental Petroleum Corporation,Energy,12570,Oil & Gas E&P,2024-12-31
"Palo Alto Networks, Inc.",Technology,14789,Software - Infrastructure,2024-07-31
Paramount Global,Communication Services,21900,Entertainment,2024-12-31
"Paycom Software, Inc.",Technology,7308,Software - Application,2024-12-31
"Paychex, Inc.",Industrials,16000,Staffing & Employment Services,2024-05-31
PACCAR Inc,Industrials,32400,Farm & Heavy Construction Machinery,2024-12-31
PG&E Corporation,Utilities,28010,Utilities - Regulated Electric,2024-12-31
Public Service Enterprise Group Incorporated,Utilities,12543,Utilities - Regulated Electric,2024-12-31
"PepsiCo, Inc.",Consumer Defensive,318000,Beverages - Non-Alcoholic,2024-12-30
Pfizer Inc.,Healthcare,88000,Drug Manufacturers - General,2024-12-31
"Principal Financial Group, Inc.",Financial Services,19800,Asset Management,2024-12-31
The Procter & Gamble Company,Consumer Defensive,107000,Household & Personal Products,2024-06-30
The Progressive Corporation,Financial Services,61432,Insurance - Property & Casualty,2024-12-31
Parker-Hannifin Corporation,Industrials,62730,Specialty Industrial Machinery,2024-06-30
